stnId,stnNm,tm,avgTa,minTa,minTaHrmt,maxTa,maxTaHrmt,mi10MaxRn,mi10MaxRnHrmt,hr1MaxRn,hr1MaxRnHrmt,sumRnDur,sumRn,maxInsWs,maxInsWsWd,maxInsWsHrmt,maxWs,maxWsWd,maxWsHrmt,avgWs,hr24SumRws,maxWd,avgTd,minRhm,minRhmHrmt,avgRhm,avgPv,avgPa,maxPs,maxPsHrmt,minPs,minPsHrmt,avgPs,ssDur,sumSsHr,hr1MaxIcsrHrmt,hr1MaxIcsr,sumGsr,ddMefs,ddMefsHrmt,ddMes,ddMesHrmt,sumDpthFhsc,avgTca,avgLmac,avgTs,minTg,avgCm5Te,avgCm10Te,avgCm20Te,avgCm30Te,avgM05Te,avgM10Te,avgM15Te,avgM30Te,avgM50Te,sumLrgEv,sumSmlEv,n99Rn,iscs,sumFogDur
133,대전,2021-06-05,21.5,16.1,56,26.1,1522,,,,,,,10.8,230,1332,4.6,250,1703,2.3,2004,250,15.9,57,603,71.5,18.6,994.3,1005.0,2317,1000.6,1659,1002.4,14.5,11.4,1500,2.19,19.77,,,,,,3.6,3.1,21.5,12.1,22.1,21.5,21.5,21.4,21.0,18.9,17.3,15.0,14.9,3.3,4.6,,{박무}2050-{박무}{강도0}2100-{박무}{강도1}2400-,
133,대전,2021-06-06,23.4,18.6,534,28.5,1551,,,,,,,7.8,230,1001,3.7,250,1212,1.8,1574,250,16.4,49,1635,67.3,18.7,999.5,1011.9,2313,1004.5,38,1007.5,14.6,11.8,1100,3.42,25.86,,,,,,1.8,1.3,25.4,15.4,24.2,23.0,22.3,21.8,20.9,19.0,17.4,15.0,15.0,5.0,7.2,,-{박무}-{박무}{강도0}0300-0555.,
133,대전,2021-06-07,23.3,16.9,544,29.5,1624,,,,,,,6.0,250,1032,3.2,250,1013,1.2,1037,250,14.6,30,1536,62.3,16.8,1005.9,1015.5,2353,1011.6,107,1014.0,14.6,9.9,1000,2.66,21.91,,,,,,5.0,2.1,24.2,13.0,24.1,23.3,22.8,22.4,21.6,19.1,17.6,15.1,15.0,4.2,6.0,,,
133,대전,2021-06-08,24.8,18.7,458,31.2,1600,,,,,,,3.9,180,1808,2.3,160,1813,0.8,715,20,17.5,39,1343,66.9,20.0,1007.3,1016.9,708,1013.7,1841,1015.3,14.6,11.0,1200,3.2,24.52,,,,,,6.0,1.9,27.0,15.8,25.8,24.4,23.5,22.9,21.8,19.3,17.7,15.1,15.0,4.5,6.4,,,
133,대전,2021-06-09,26.9,20.1,556,32.9,1536,,,,,,,5.7,250,2240,3.8,250,2255,1.2,1047,110,19.0,37,1531,65.0,22.0,1006.9,1016.8,712,1013.0,1533,1014.8,14.6,12.5,1200,3.29,26.68,,,,,,3.6,0.6,29.8,17.2,27.6,25.9,24.8,23.9,22.5,19.5,17.8,15.2,15.0,5.4,7.8,,,
133,대전,2021-06-10,25.7,21.2,2400,31.6,1452,0,2309,1.1,2258,6.33,1.6,9.7,250,1900,5.8,230,1906,2.0,1702,160,18.8,46,1909,68.4,21.8,1003.7,1014.5,1,1009.3,2308,1011.6,14.6,5.9,1200,2.7,17.69,,,,,,8.8,2.6,29.3,18.7,27.2,26.1,25.3,24.7,23.3,19.8,17.9,15.3,15.0,3.5,5.0,14.2,{비}1740-{비}{강도0}1800-{비}{강도0}2100-{비}{강도0}2400-,
133,대전,2021-06-11,23.5,19.9,407,28.7,1536,1,223,4.3,204,5.33,12.6,7.5,230,333,4.6,200,336,1.6,1351,270,20.3,61,1539,84.1,23.9,1002.6,1013.1,2342,1009.1,335,1010.6,14.6,7.2,1400,2.69,18.31,,,,,,7.1,5.1,24.8,18.8,25.8,25.2,24.8,24.4,23.5,20.2,18.1,15.3,15.0,3.3,4.8,,-{비}-{비}{강도0}0300-0450. {비}0755-0825.,
133,대전,2021-06-12,25.3,19.7,456,30.7,1526,,,,,,,4.3,70,1945,2.2,50,1329,0.9,813,70,20.8,55,1528,78.3,24.6,1003.6,1013.9,831,1009.2,1928,1011.5,14.6,8.6,1100,3.36,24.39,,,,,,7.3,3.4,28.3,16.9,27.0,25.9,25.2,24.6,23.5,20.4,18.2,15.4,15.0,4.0,5.7,,{박무}0355-{박무}{강도0}0600-0830. {햇무리}0930-1020.,
133,대전,2021-06-13,25.2,21.9,653,31.0,1638,,,,,,,4.4,90,1416,2.1,20,1326,1.2,1012,250,21.3,50,1723,80.6,25.4,1000.7,1011.3,401,1005.6,1649,1008.6,14.6,7.3,1300,3.42,21.25,,,,,,5.4,4.8,28.4,20.4,27.6,26.6,25.8,25.2,24.0,20.6,18.4,15.4,15.1,4.1,5.8,,{박무}0145-{박무}{강도0}0300-{박무}{강도0}0600-{박무}{강도0}0900-1120. {박무}2340-{박무}{강도0}2400-,
133,대전,2021-06-14,24.9,20.9,209,30.5,1535,0,,0.0,,0.33,0.0,6.4,160,1316,3.5,140,1150,1.3,1093,160,21.7,58,1536,83.3,25.9,997.9,1007.9,543,1004.0,1728,1005.9,14.6,4.5,1400,2.41,17.98,,,,,,8.3,4.8,28.5,18.8,27.4,26.5,26.0,25.5,24.4,20.9,18.6,15.5,15.1,3.1,4.5,0.0,-{박무}-{박무}{강도0}0300-{박무}{강도0}0600-{박무}{강도0}0900-1005. {비}1755-{비}{강도0}1800-1815.,
133,대전,2021-06-15,22.6,21.1,2033,24.1,1705,0,1906,1.1,1153,6.08,1.9,9.9,140,2354,5.4,160,2356,2.4,2066,180,19.8,77,1727,84.5,23.1,996.3,1005.7,7,1002.9,1739,1004.2,14.6,0.0,1400,0.99,7.15,,,,,,10.0,5.8,23.6,18.6,25.1,25.1,25.1,25.0,24.5,21.1,18.8,15.6,15.1,1.8,2.6,1.9,{비}1020-{비}{강도0}1200-1410. {비}1755-{비}{강도0}1800-2010.,
133,대전,2021-06-16,23.6,21.3,7,27.2,1533,,,,,,,11.0,160,957,5.8,160,559,3.6,3106,160,18.0,56,1721,71.4,20.6,997.3,1007.6,2359,1003.1,243,1005.2,14.6,5.6,1500,2.7,16.1,,,,,,6.1,5.9,25.3,17.9,24.6,24.2,24.1,24.0,23.8,21.3,19.0,15.7,15.1,3.4,4.8,,,
133,대전,2021-06-17,22.1,19.6,457,25.4,1348,0,,0.1,,4.83,0.1,5.6,140,115,3.4,140,117,1.7,1430,180,18.3,66,1133,80.0,21.1,998.4,1008.2,822,1005.3,1708,1006.4,14.7,0.8,1000,2.13,9.84,,,,,,9.5,2.6,23.2,16.6,24.0,23.9,23.9,23.8,23.5,21.3,19.1,15.7,15.1,1.7,2.4,1.5,{비}1625-{비}{강도0}1800-1930. {비}2130-2155. {비}2230-2350.,
133,대전,2021-06-18,21.2,19.7,2357,23.5,1653,0,802,0.6,352,9.67,1.4,5.7,230,1331,3.0,250,1233,1.2,1076,270,19.9,82,1833,92.6,23.2,994.4,1005.3,1,1000.4,1754,1002.4,14.7,0.1,1100,1.1,7.1,,,,,,8.6,6.3,21.4,16.3,23.2,23.2,23.3,23.3,23.2,21.2,19.2,15.8,15.1,1.6,2.2,0.0,{비}0015-{비}{강도0}0300-{비}{강도0}0600-0620. {박무}0410-0540. {비}0730-0850. {박무}0755-0815. {안개비}1335-{안개비}{강도0}1500-1550.,
133,대전,2021-06-19,23.5,18.2,547,29.1,1437,,,,,,,6.0,200,1536,2.9,250,1551,1.2,1011,250,17.7,43,1406,72.8,20.2,993.7,1002.9,807,1000.0,1511,1001.6,14.6,11.7,1200,3.38,27.18,,,,,,3.3,2.4,27.3,15.6,25.7,24.4,23.8,23.3,22.7,21.1,19.3,15.9,15.1,4.8,6.9,,,
133,대전,2021-06-20,24.4,17.5,450,31.0,1429,,,,,,,9.2,270,1438,5.5,250,1224,1.7,1496,250,17.2,27,1639,67.6,19.7,994.0,1003.2,708,1000.5,1544,1002.0,14.6,12.5,1200,3.47,27.44,,,,,,4.1,1.1,28.8,13.8,26.7,25.5,24.8,24.3,23.3,21.1,19.4,16.0,15.2,5.3,7.6,,{박무}2355-{박무}{강도0}2400-,
133,대전,2021-06-21,24.8,19.5,553,30.7,1615,,,,,,,8.3,20,1449,4.2,20,1535,1.5,1309,20,16.4,34,1724,63.8,18.9,996.9,1007.4,2330,1002.8,43,1004.8,14.7,12.5,1100,3.36,26.49,,,,,,2.8,2.1,29.8,15.9,27.3,26.3,25.6,24.9,23.8,21.2,19.4,16.0,15.2,5.0,7.2,,-{박무}-{박무}{강도0}0300-{박무}{강도0}0600-0840.,
133,대전,2021-06-22,23.6,18.5,427,28.6,1548,,,,,,,6.6,230,1608,3.7,250,1614,1.1,958,180,16.7,42,1341,67.4,19.0,1000.8,1010.6,2326,1007.3,1,1008.8,14.7,5.4,1000,2.38,17.35,,,,,,6.6,5.9,26.5,14.4,26.1,25.7,25.4,25.1,24.1,21.4,19.5,16.1,15.2,3.4,4.9,,,
133,대전,2021-06-23,20.9,19.2,2259,25.1,939,1,1120,4.2,1036,6.33,6.7,7.2,110,947,3.7,160,954,1.7,1501,180,19.4,70,946,91.3,22.5,1002.9,1012.7,2252,1009.7,204,1011.0,14.7,2.6,900,1.84,8.04,,,,,,6.8,4.6,23.3,16.8,24.3,24.4,24.5,24.6,24.0,21.5,19.6,16.2,15.2,1.4,2.0,6.7,{박무}0240- {박무}{강도0}0300-{박무}{강도0}0600-0815. {소나기}1035-{소나기}{강도1}1200-{비}1215-{소나기}1455-{소나기}{강도0}1500-1655. {박무}1055-{박무}{강도1}1200-{박무}{강도0}1500-{박무}{강도0}1800-{박무}{강도0}2100-,
